index,Year,EmployerName,DepartmentOrSubdivision,Position,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages
353,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,89461.0,,,,,89461.0
354,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,92948.0,,,,,92948.0
355,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,86454.0,,,,,86454.0
356,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,83732.0,,,,,83732.0
357,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,82812.0,,,,,82812.0
358,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,71046.0,,,,,71046.0
359,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,86258.0,,,,,86258.0
360,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,78998.0,,,,,78998.0
361,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,80923.0,,,,,80923.0
362,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,80682.0,,,,,80682.0
363,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,86091.0,,,,,86091.0
364,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,70112.0,,,,,70112.0
365,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,40368.0,,,,,40368.0
366,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,80710.0,,,,,80710.0
367,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,87836.0,,,,,87836.0
368,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,84148.0,,,,,84148.0
369,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,78978.0,,,,,78978.0
370,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,74595.0,,,,,74595.0
371,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,73891.0,,,,,73891.0
372,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,99182.0,,,,,99182.0
373,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,77052.0,,,,,77052.0
374,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,83926.0,,,,,83926.0
375,2009,Chula Vista,Fire,Firefighter (112 Hr),53797,65390.0,89491.0,,,,,89491.0
376,2009,Chula Vista,Fire,Firefighter (80 Hr),53797,65390.0,62183.0,,,,,62183.0
377,2009,Chula Vista,Fire,Sr Fire Inspector,67719,82313.0,97591.0,,,,,97591.0
548,2009,Coronado,Fire Services,Dir. Of Fire Services,129708,154788.0,174557.0,,,,,174557.0
549,2009,Coronado,Fire Services,Fire Captain,68931,92375.0,123163.0,,,,,123163.0
550,2009,Coronado,Fire Services,Fire Captain,68931,92375.0,112304.0,,,,,112304.0
551,2009,Coronado,Fire Services,Fire Captain,68931,92375.0,133632.0,,,,,133632.0
552,2009,Coronado,Fire Services,Fire Captain,68931,92375.0,102532.0,,,,,102532.0
553,2009,Coronado,Fire Services,Fire Captain,68931,92375.0,118588.0,,,,,118588.0
554,2009,Coronado,Fire Services,Fire Captain,68931,92375.0,128931.0,,,,,128931.0
555,2009,Coronado,Fire Services,Fire Div. Chief,96389,129171.0,122547.0,,,,,122547.0
556,2009,Coronado,Fire Services,Fire Div. Chief,96389,129171.0,134741.0,,,,,134741.0
557,2009,Coronado,Fire Services,Fire Div. Chief,96389,129171.0,123554.0,,,,,123554.0
558,2009,Coronado,Fire Services,Fire Engineer,58810,78811.0,95607.0,,,,,95607.0
559,2009,Coronado,Fire Services,Fire Engineer,58810,78811.0,109511.0,,,,,109511.0
560,2009,Coronado,Fire Services,Fire Engineer,58810,78811.0,94453.0,,,,,94453.0
561,2009,Coronado,Fire Services,Fire Engineer,58810,78811.0,99748.0,,,,,99748.0
562,2009,Coronado,Fire Services,Fire Engineer,58810,78811.0,104664.0,,,,,104664.0
563,2009,Coronado,Fire Services,Fire Engineer,58810,78811.0,80138.0,,,,,80138.0
564,2009,Coronado,Fire Services,Fire Fighter,51154,68552.0,94315.0,,,,,94315.0
565,2009,Coronado,Fire Services,Fire Fighter,51154,68552.0,75488.0,,,,,75488.0
566,2009,Coronado,Fire Services,Fire Fighter - Paramedic,58060,77806.0,85562.0,,,,,85562.0
567,2009,Coronado,Fire Services,Fire Fighter - Paramedic,58060,77806.0,96837.0,,,,,96837.0
568,2009,Coronado,Fire Services,Fire Fighter - Paramedic,58060,77806.0,65779.0,,,,,65779.0
569,2009,Coronado,Fire Services,Fire Fighter - Paramedic,58060,77806.0,68329.0,,,,,68329.0
570,2009,Coronado,Fire Services,Fire Fighter - Paramedic,58060,77806.0,86988.0,,,,,86988.0
571,2009,Coronado,Fire Services,Fire Fighter - Paramedic,58060,77806.0,89774.0,,,,,89774.0
572,2009,Coronado,Fire Services,Fire Fighter - Paramedic,58060,77806.0,111086.0,,,,,111086.0
573,2009,Coronado,Fire Services,Fire Fighter - Paramedic,58060,77806.0,86966.0,,,,,86966.0
574,2009,Coronado,Fire Services,Fire Fighter - Paramedic,58060,77806.0,53593.0,,,,,53593.0
575,2009,Coronado,Fire Services,Fire Fighter - Paramedic,58060,77806.0,74809.0,,,,,74809.0
576,2009,Coronado,Fire Services,Fire Fighter - Paramedic,58060,77806.0,69940.0,,,,,69940.0
577,2009,Coronado,Fire Services,Fire Fighter - Paramedic,58060,77806.0,64956.0,,,,,64956.0
578,2009,Coronado,Fire Services,Fire Fighter - Paramedic,58060,77806.0,63877.0,,,,,63877.0
579,2009,Coronado,Fire Services,Fire Fighter - Paramedic,58060,77806.0,90936.0,,,,,90936.0
640,2009,Del Mar,Fire,Fire Captain,72506,88132.0,129678.0,,,,,129678.0
641,2009,Del Mar,Fire,Fire Captain,72506,88132.0,122872.0,,,,,122872.0
